S.No.,Project Details and Address,Project Completion Date,Location of Site
337," - Construction of Stilt Floor + 5 Floors Residential Building with 10 Dwelling Units at Plot No.C-92, Crescent Street, Thiruvengada Nagar Ambattur, Chennai comprised in T.S.No.71, Block No.5, Ward No.B of Ambattur Village, Chennai District.",31.12.2024," Latitude-10§79?94.30""N; Longitude-78§71?06.09?E;"
338," - Construction of Stilt Floor + 5 Floors with 20 dwelling and Ground + 2 Floors Row Houses of 10 dwelling (Totally 30) at Ward No.10(J), Block No.74, T.S.No.1109/2 and Ward No.28, Block No.51, T.S.No.119/1 & 119/3 of Ramanathapuram Village, Coimbatore District.",30.06.2026,
339," - Construction of Stilt Floor + 3 Floors with 09 dwelling units at Door No.12/24, Block No.79, Ward No.01, Plot No.24 comprised in T.S.No.61/2 of 2nd Main Road Venkatesa Nagar 2 Extn., Koyambedu, Chennai ? 600092.",30.04.2025,
340,,30.06.2026,
341,,03.08.2025,
342,,08.11.2023,
343,,21.04.2026," Latitude-11§03?09.304""N; Longitude-76§93?72.808?E;"
344,,30.04.2025," Latitude-13§02?40.93""N; Longitude-80§15?64.56?E;"
345," - Construction of Registration of Residential Building with Block-A: Stilt + 3 Floors with 06 Dwelling units; Block-B: Stilt + 3 Floors with 06 Dwelling units; Block-C: Stilt + 3 Floors with 03 Dwelling units, Totally 15 Dwelling units at Survey No.387/1A of Nandhivaram Village, Chengalpattu District.",30.12.2026,
346," - Construction of Stilt Floor + 4 Floors Residential Building with 8 dwelling units at Block No.176, Door No.330/1, Kurinji Colony, 4th Avenue, Shanthi Colony, Anna Nagar, Chennai comprised in Old S.No.270pt, T.S.No.60/10, Block No.19 of Koyambedu Village, Chennai.",June 2027," Latitude-13§04?58.7""N; Longitude-80§12?06.5?E;"
347," - Construction of Stilt + 5 Floors Residential Building with 15 dwelling units comprised in S.F.No.323/1C1A1A, Ward-37, Block-6, T.S.No.143 of Singanallur Village, Coimbatore District.",30.05.2026,
348," - Construction of Registration of 1) Ground Floor + 1st Floor with 6 dwelling units at Plot Nos.19, 20, 21 & 22 in the approved Layout No. 101/2022, Thaiyur Main Road, S.No.126/1, 126/2A, Thaiyur 'A' Village, Thiruporur Taluk, Kancheepuram District approved by The President, Thaiyur Panchayat in Letter No. 129/2022-23, dated 19.12.2022 and 2) Ground Floor + 1st Floor with 4 dwelling units at Plot Nos.76, 77, 78 & 79 in the approved Layout No. 101/2022, Thaiyur Main Road, S.No.126/1, 126/2A, Thaiyur 'A' Village, Thiruporur Taluk, Kancheepuram District approved by The President, Thaiyur Panchayat in Letter No. 128/2022-23, dated 19.12.2022",February 2025, Latitude-12.78683'N; Longitude-80.20297'E;
349," - Construction of Registration of Stilt + 5 Floor Residential Building with 25 dwelling units availing Premium FSI (Height ? 18m) at Old Door No.111, New Door No.22, B.B.Road, Perambur, Chennai ? 600039 comprised in Old S.No.42 part, Old R.S.No.488/5, T.S.No.488/25, Block No.25, Ward?1 of Perambur Village, Chennai.",December 2025, Latitude-13.113257'N; Longitude-80.252460'E;
350,,11.02.2028, Latitude-11§34?08.18?N; Longitude-77§67?62.69?E;
351," - Construction of Basement Floor + Ground Floor + 2 Floors with 27 dwelling units comprised in T.S.Nos.1037/20, 1037/21, Ward?A, Block No.30 of Melur Village, Srirangam Taluk, Tiruchirappalli District.",December 2025, Latitude-10§52?N; Longitude-78§40'E;
352," - Construction of Registration of Stilt Floor + 4 Floors Residential Building with 87 Dwelling Units availing with Premium FSI comprised in T.S.No.58/35, Block.No.13 of Ayanavaram Village, V.O.C. Colony (New Colony) Street, Anna Nagar, Chennai ? 600102.",Completed,
353," - Construction of Registration of Stilt Floor + 3 Floors + 4th Floor Part Residential Building with 13 Dwelling Units at Old Door No.193, New Door No.4, Lake View Road, West Mambalam, Chennai comprised in R.S.No.9/1, 10/1, Block No.55 of Puliyur Village, Egmore Taluk, Chennai District.",26.02.2024, Latitude-13§02?27.9?N; Longitude-80§13?41.4?E;
354," - Construction of Stilt Floor + 4 Floors Residential Building with 11 dwelling units at Plot No.19 & 20, Ram Nagar 1st Street North Extension, Velachery, Chennai comprised in S.No.677/5 & 677/6, T.S.No.02, Block No.179 of Velachery Village, Chennai.",26.08.2024, Latitude-12§58?27.5?N; Longitude-80§12?52.2?E;
355," - Construction of Registration of Developer?s share of Flats Nos.F2, F3, S2, S3, T2, T3 (Total 06 Flats) in Stilt Floor + 3 Floors Residential Building with 09 dwelling units at Door No.5, Plot No.5, 8th Street, Kuberan Nagar Extn., Madipakkam, Chennai comprised in S.No.132/74 of Madipakkam Village, Sholinganallur Taluk, Chennai District.",31.03.2024, Latitude-12§57?28.34?N; Longitude-80§12?19.72?E;
356," - Construction of Registration of Stilt Floor + 4 Floor with 12 dwelling units at Old S.No.144/2A, Ward No.32, Block No.52, T.S.No.170/2 & 170/3 of Uppilipalayam Village, Coimbatore Corporation.",07.06.2028, Latitude-11§00?34.7?N; Longitude-77§01?08.4?E;
357,,11.08.2027,
358," - Construction of Registration of Developer?s share of Flats Nos. 1st Floor in A1, B1, C1, 2nd Floor in A2, B2, C2, 5th Floor in C5 (Total 07 Flats) in Stilt Floor + 5 Floors Residential Building with 15 dwelling units comprised in Old S.No.3/2B, T.S.No.32/1, 2, & 33, Ward No.N, Block No.20, ?The Suramangalam Co-operative House Building Society Ltd.,",31.03.2025, Latitude-11§40?23.0?N; Longitude-78§07?06.1?E;
